,result,provider,documentation,terms_of_use,time_last_update_unix,time_last_update_utc,time_next_update_unix,time_next_update_utc,time_eol_unix,base_code,rates
DJF,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,177.721
DKK,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,6.954303
DOP,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,54.663436
DZD,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,136.699812
EGP,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,30.919943
ERN,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,15.0
ETB,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,54.696014
EUR,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,0.932316
FJD,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,2.24258
FKP,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,0.805787
FOK,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,6.954303
GBP,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,0.805774
GEL,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,2.592174
GGP,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,0.805787
GHS,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,11.538128
GIP,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,0.805787
GMD,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,59.04917
GNF,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,8541.402024
GTQ,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,7.807888
GYD,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,211.457858
HKD,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,7.833294
HNL,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,24.562723
HRK,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,7.023395
HTG,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,140.554314
HUF,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,345.015134
IDR,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,14970.890337
ILS,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,3.710126
IMP,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,0.805787
INR,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,82.721401
IQD,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,1308.362455
IRR,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,42007.388104
ISK,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,139.36497
JEP,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,0.805787
JMD,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,154.55604
JOD,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,0.709
JPY,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,139.811071
KES,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,138.833871
KGS,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,87.633822
KHR,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,4099.595096
KID,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,1.53389
KMF,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,458.595002
KRW,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,1318.948851
KWD,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,0.307401
KYD,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,0.833333
KZT,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,447.206124
LAK,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,17879.988594
LBP,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,15000.0
